Clasificacion,Tema
AC,"	Colecciones. Series.		"
AE,"	Enciclopedias generales.		"
AG,"	Diccionarios. Obras de referencia ge	ner	ales"
AI,"	Índices.		"
AM,"	Museos. Coleccionismo.		"
AN,"	Periódicos.		"
AP,"	Publicaciones periódicas. Revistas.		"
AS,"	Academias. Sociedades educativas y c	ult	urales"
AY,"	Anuarios. Almanaques. Directorios.		"
AZ,"	Historia de la erudición y del estud	io.	Humanidades."
B,"	Filosofía (en general)		"
BC,"	Lógica		"
BD,"	Filosofía especulativa.		"
BF,"	Psicología. Parapsicología. Ciencias	oc	ultas."
BH,"	Estética.		"
BJ,"	Ética. Etiqueta social.		"
BL,"	Religión. Mitología. Racionalismo.		"
BM,"	Judaismo.		"
BP,"	Islam.		"
BQ,"	Budismo.		"
BR,"	Cristianismo.		"
BS,"	Biblia.		"
BT,"	Teología doctrinal.		"
BV,"	Teología aplicada.		"
BX,"	Confesiones cristianas.		"
C,"	Ciencias auxiliares de la historia (e	n g	eneral)"
CB,"	Historia de la civilización		"
CC,"	Arqueología.		"
CD,"	Diplomática. Archivología. Sigilogra	fía	."
CE,"	Cronología. Calendarios.		"
CJ,"	Numismática.		"
CN,"	Epigrafía.		"
CR,"	Heráldica		"
CS,"	Genealogía.		"
CT,"	Biografía.		"
D,"	Historia (en general). Europa (en gen	era	l)."
DA,Gran Bretańa 
DB," Austria,  Checoslovaquia, Eslovaquia y República Checa"
DC," Francia,  Mónaco."
DCC,Discos compactos
DD,"	Alemania.		"
DE,Región Mediterránea
DF,"	Grecia.		"
DG,Italia
DH,Países Bajos (en general)
DJ,"	Holanda.		"
DK,Unión Soviética
DL,Europa del Norte 
DP,Espańa
DQ,"	Suiza.		"
DR, Península Balcánica (en general)
DVD,Digital Versatile Disc 
F,"	Historia local de EEUU, America latina"
G,"	Geografía (en general). Atlas"
GA,"	Cartografía.		"
GB,"	Geografía física.		"
GC,"	Oceanografía.		"
GE,"	Ciencias ambientales.		"
GF,"	Ecología humana. Antropogeografía.		"
GN,"	Antropología.		"
GR,"	Folclore.		"
GT,"	Usos y costumbres (en general).		"
GV,"	Ocio. Deportes.		"
H,"	Ciencias sociales (en general).		"
HA,"	Estadística.		"
HB,"	Teoría económica. Demografía.		"
HC,"	Historia y condiciones económicas.		"
HD,"	Industria. Agricultura (aspectos eco	nóm	icos). Trabajo."
HE,"	Transportes y comunicaciones		"
HEM,Hemeroteca
HF,"	Comercio.		"
HG,"	Finanzas.		"
HJ,"	Finanzas públicas.		"
HM,"	Sociología.		"
HN,Historia y condiciones sociales
HQ,Familia
HS,Sociedades benéicas
HT, Comunidades
HV,Patología social
HX,Socialismo y anarquismo
J,"	Documentos generales del poder ejecut	ivo	."
JA,"	Ciencia política (en general).		"
JC,"	Teoría política. Teoría del Estado.		"
JF,"	Instituciones políticas y administra	ció	n pública (en general)."
JK,"	Instituciones políticas y administra	ció	n pública  Estados Unidos."
JK,"	Instituciones políticas y administra	ció	n pública"
JL,"	Instituciones políticas y administra	ció	n pública   Canadá y América Latina."
JN,"	Instituciones políticas y administra	ció	n pública  Europa."
JQ,Instituciones políticas y administración pública  
JS,"	Gobierno local.		"
JV,"	Colonización. Migración.		"
JZ,"	Relaciones internacionales (sustituy	e a	la antigua JX)"
K,"	Derecho (en general).		"
KB,"	Derecho religioso (en general) y de	las	religiones."
KD, Irlanda.
KDZ, Norteamérica
KGF,Derecho mexicano
KL,"Eurasia,  África,  Oceanía"
KZ,"Maritimo, espacial"
L,"	Educación (en general)		"
LA,"	Historia de la educación.		"
LB,"	Teoría y práctica de la educación.		"
LC,"	Aspectos especiales de la educación.		"
LH,"	Periódicos y revistas escolares y un	ive	rsitarias."
LJ,"	Sociedades y fraternidades estudiant	ile	s (EE.UU.)"
LT,"	Libros de texto.		"
M,"	Música.		"
ML,"	Literatura musical.		"
MT,"	Estudio y enseńanza de la música.		"
N,"	Artes visuales (en general).		"
NA,"	Arquitectura.		"
NB,"	Escultura.		"
NC,"	Dibujo. Diseńo. Ilustración.		"
ND,"	Pintura.		"
NE,"	Grabado.		"
NK,"	Artes decorativas. Artes aplicadas.	Dec	oración"
NX, Artes en general (incluidas visuales)
P,"	Filología comparada. Lingüística. Ind	oeu	ropeo. Lenguas extinguidas."
PA, Filología y Literatura clásicas. Latín
PB,"	Lenguas modernas europeas (en genera	l).	Lenguas celtas."
PC,"	Lenguas románicas.		"
PD,"	Lenguas germánicas (en general). Len	gua	s escandinavas."
PE,"	Inglés.		"
PF,"	Holandés. Alemán.		"
PG, Lenguas y Literaturas eslavas
PH," Lenguas y Literaturas inlandesa, vasca"
PJ,Lenguas y Literaturas orientales 
PK,"	Lenguas y Literaturas indoiranias.		"
PL,"Lenguas y Literaturas de Asia Oriental, Africa"
PM,"	Lenguas y Literaturas indias. Lengua	jes	artiiciales."
PN,"	Literatura (en general). Artes escénicas. Periodismo. Medios de comunicación social."
PQ,"Literaturas románicas  francesa, espańola, portuguesa"
PR,"	Literatura inglesa.		"
PS,"	Literatura americana.		"
PT,"Literaturas germanas, escandinavas"
PZ,"	Literatura juvenil.		"
Q,"	Ciencias (en general).		"
QA,"	Matemáticas. Informática.		"
QB,"	Astronomía.		"
QC,"	Física.		"
QD,"	Química.		"
QE,"	Geología.		"
QH,"	Historial natural (en general). Biol	ogí	a (en general)."
QK,"	Botánica.		"
QL,"	Zoología.		"
QM,"	Anatomía humana.		"
QP,"	Fisiología.		"
QR,"	Microbiología.		"
R,"	Medicina (en general).		"
RA,"	Aspectos públicos de la medicina.		"
RB,"	Patología.		"
RC,"	Medicina interna.		"
RD,"	Cirugía.		"
RE,"	Otalmología.		"
RF,"	Otorrinolaringología.		"
RG,"	Ginecología y Obstetricia.		"
RJ,"	Pediatría.		"
RK,"	Estomatología.		"
RL,"	Dermatología.		"
RM,"	Terapéutica. Farmacología.		"
RS,"	Farmacia y material médico.		"
RT,"	Enfermería.		"
RV,"	Botánica. Formas eclécticas de medic	ina	."
RX,"	Homeopatía.		"
RZ,"	Otros sistemas de medicina.		"
S,"	Agricultura (en general).		"
SB,"	Cultivo de plantas. Jardines.		"
SD,"	Silvicultura.		"
SF,"	Ganadería.		"
SH,"	Piscicultura. Pesca.		"
SK,"	Caza.		"
T,"	Tecnología (en general).		"
TA,"	Ingeniería (en general). Ingeniería	civ	il (en general)."
TC,"	Ingeniería hidráulica y de océanos.		"
TD,"	Tecnología medioambiental y sanidad	púb	lica."
TE,"	Ingeniería de caminos.		"
TF,"	Ingeniería y operativa ferroviaria.		"
TG,"	Ingeniería de puentes.		"
TH,"	Construcción de ediicios.		"
TJ,"	Ingeniería mecánica. Maquinaria.		"
TK," Ingeniería eléctrica, nuclear"
TL,"	Vehículos de motor. Aeronáutica. Ast	ron	áutica."
TN,"	Ingeniería de minas. Metalurgia.		"
TP,"	Tecnología química.		"
TR,"	Fotografía.		"
TS,"	Manufacturación.		"
TT,"	Artesanía.		"
TX,"	Economía doméstica.		"
U,"	Ciencia militar (en general).		"
UA, Fuerzas armadas  organización
UB,"	Administración militar.		"
UC,"	Suministros y transportes.		"
UD,"	Infantería.		"
UE,"	Caballería. Fuerzas blindadas.		"
UF,"	Artillería.		"
UG,"	Ingeniería militar. Fuerzas aéreas.	Ast	ronáutica militar."
UH,"	Otros servicios.		"
V,"	Ciencia naval (en general).		"
VA,Fuerzas navales  organización
VB,"	Administración naval.		"
VC,"	Suministros navales.		"
VD,"	Marinos.		"
VE,"	Infantería de marina.		"
VF,"	Artillería naval.		"
VG,"	Servicios menores.		"
VK,"	Navegación. Marina mercante.		"
VM,"	Arquitectura naval. Astilleros. Inge	nie	ría naval."
X,Tesis
Z,"	Libro. Industria y comercio del libro	. B	iblioteconomía y Documentación. Bibliografía. Paleografía. Bibliotecas."
ZA,"	Servicios de información. Recursos i	nfo	rmativos. Internet."
